Label,MOA,Adresse_1,Adresse_2,CodePostal,LAT,LON
Libourne - la Ballastière,SMICVAL,Rue de l'Industrie,ZI de la Ballastière,33500,44.94450587,-0.235391903
Saint-aubin-de-Blaye,SMICVAL,,Lieu dit Moxenne,33820,45.26052921,-0.575549147
Saint-Denis-de-Pile,SMICVAL,8 route de la Pinière,,33910,44.99812026,-0.157080003
Saint-Gervais,SMICVAL,Route du Port Neuf,,33240,45.01088298,-0.4692538
Saint-Mariens,SMICVAL,2 bis Tessonneau,,33620,45.11417538,-0.389916104
Saint-Paul,SMICVAL,,Lieu dit Fourneton,33390,45.14272468,-0.60574335
Saint-Seurin-sur-l'Isle,SMICVAL,Route de Gours,,33660,45.00304549,0.010762333
Vérac,SMICVAL,,Teychères,33240,44.99740527,-0.358104127
Gensac,USTOM DU CASTILLONNAIS ET DU REOLAIS,Au Stade,,33890,44.79998266,0.08120303
La Réole,USTOM DU CASTILLONNAIS ET DU REOLAIS,Z.I. Frimont,,33190,44.58166116,-0.072152571
Pineuilh,USTOM DU CASTILLONNAIS ET DU REOLAIS,ZAE l'Arbalestrier,,33220,44.84023343,0.237646214
Rimons,USTOM DU CASTILLONNAIS ET DU REOLAIS,La Gourande,,33580,44.69006121,0.033757028
Saint-Magne-de-Castillon,USTOM DU CASTILLONNAIS ET DU REOLAIS,24 chemin de Cazeaux,,33350,44.84249384,-0.072759412
Sauveterre-de-Guyenne,USTOM DU CASTILLONNAIS ET DU REOLAIS,Sauveterre de Guyenne,,33540,44.70128731,-0.106107717
,CDC DE CAPTIEUX-GRIGNOLS,2 Rue du Château,,33690,44.393619,-0.041781
,SM DU SAUTERNAIS,2 Quarts,,33210,44.793051,-0.606336
,USERCTOM DE MONSEGUR,Rue des Victimes du 3 Août,,33580,44.650896,0.081992
,USTOM DU CASTILLONNAIS ET DU REOLAIS,La Racinette,,33790,44.753776,0.104481
,USSGETOM,Za Dumes 5 r Marcel Paul,,33210,44.54099,-0.239793
